library,sys_time_constant_median,sys_time_constant_average,sys_time_constant_std,sys_time_constant_max,sys_time_solo_len,sys_time_solo_median,sys_time_solo_average,sys_time_solo_std,sys_time_solo_max,sys_time_full_median,sys_time_full_average,sys_time_full_std,sys_time_full_max
psycopg2-binary,0.071,0.078,0.02042057785666213,0.10099999999999999,3.0,0.131,0.13633333333333333,0.011015141094572205,0.149,0.12300000000000001,0.11333333333333334,0.023072349974229623,0.13
ptitprince,0.07400000000000001,0.08533333333333333,0.025006665778014733,0.114,3.0,0.18600000000000003,0.18466666666666667,0.003214550253664314,0.187,1.06,1.058,0.07002142529254887,1.127
ptvsd,0.08800000000000001,0.09200000000000001,0.010583005244258361,0.10400000000000001,3.0,0.155,0.17166666666666666,0.030615900008546755,0.207,0.205,0.19199999999999998,0.03819685850956856,0.222
ptyprocess,0.10300000000000001,0.09699999999999999,0.015874507866387545,0.109,3.0,0.125,0.11866666666666666,0.012741009902410923,0.127,0.106,0.108,0.029051678092667906,0.138
pubchempy,0.084,0.08533333333333333,0.006110100926607787,0.092,3.0,0.18100000000000002,0.17133333333333334,0.029704096238285606,0.195,0.185,0.17966666666666664,0.015695009822658066,0.192
publib,0.08900000000000001,0.08866666666666667,0.002516611478423586,0.091,3.0,0.096,0.08966666666666667,0.01457166199626294,0.1,0.45,0.43166666666666664,0.05676559991168362,0.47700000000000004
public,0.083,0.09100000000000001,0.024979991993593596,0.11900000000000001,3.0,0.156,0.15933333333333333,0.005773502691896261,0.166,0.20600000000000002,0.19099999999999998,0.029512709126747423,0.21
pulp,0.106,0.10933333333333334,0.008504900548115382,0.11900000000000001,3.0,0.28800000000000003,0.295,0.044911023145771216,0.34299999999999997,0.397,0.3993333333333333,0.004932882862316257,0.405
pvlib,0.099,0.09666666666666668,0.008736894948054115,0.10400000000000001,3.0,0.235,0.22666666666666666,0.02843120351538663,0.25,0.9209999999999999,0.9133333333333332,0.05490294466905524,0.9640000000000001
py,0.092,0.09833333333333334,0.02122105872319601,0.122,3.0,0.098,0.104,0.027495454169735044,0.134,0.102,0.10366666666666667,0.018556220879622384,0.12300000000000001
py-cpuinfo,0.10099999999999999,0.10433333333333333,0.013316656236958784,0.11900000000000001,3.0,0.17,0.17200000000000001,0.005291502622129186,0.17800000000000002,0.205,0.20566666666666666,0.01201388086062674,0.218
py-heat-magic,0.111,0.10233333333333333,0.023245071162148183,0.12,3.0,0.218,0.20266666666666666,0.029194748386196675,0.221,2.7889999999999997,2.86,0.1478884714911881,3.03
py-lru-cache,0.084,0.08466666666666667,0.012013880860626727,0.09699999999999999,3.0,0.204,0.20566666666666666,0.008621678104251703,0.215,0.18899999999999997,0.18933333333333333,0.020502032419575707,0.21
py-readability-metrics,0.107,0.11733333333333333,0.02236813209307683,0.14300000000000002,3.0,0.10800000000000001,0.111,0.021656407827707717,0.134,0.231,0.245,0.025119713374160923,0.27399999999999997
py-spy,0.077,0.08766666666666667,0.02112660250332109,0.11199999999999999,3.0,0.11599999999999999,0.123,0.016643316977093238,0.142,0.128,0.13066666666666668,0.01715614564327702,0.149
py2-py3-django-email-as-username,0.09300000000000001,0.09800000000000002,0.009539392014169453,0.109,3.0,0.18600000000000003,0.18566666666666667,0.007505553499465124,0.193,0.185,0.18566666666666667,0.024006943440041124,0.21
py2neo,0.09,0.09100000000000001,0.003605551275463989,0.095,3.0,0.124,0.11933333333333335,0.024337899115029073,0.141,0.48100000000000004,0.488,0.01946792233393179,0.51
py3dmol,0.092,0.09933333333333333,0.014468356276140466,0.11599999999999999,3.0,0.10300000000000001,0.106,0.009848857801796096,0.11699999999999999,0.086,0.09000000000000001,0.02029778313018443,0.11199999999999999
py4j,0.10099999999999999,0.10333333333333333,0.01464012750399851,0.11900000000000001,3.0,0.114,0.10133333333333333,0.025482019804821857,0.11800000000000001,0.102,0.11666666666666668,0.027153882472555076,0.14800000000000002
py6s,0.10099999999999999,0.09466666666666666,0.02413158373031769,0.115,3.0,0.379,0.3693333333333333,0.024946609656090208,0.38799999999999996,0.878,0.8786666666666667,0.023007245235649898,0.902
pyabf,0.085,0.09366666666666668,0.03092463958291727,0.128,3.0,0.198,0.20400000000000004,0.016822603841260723,0.223,0.602,0.5956666666666667,0.04880915214724922,0.6409999999999999
pyam,0.098,0.08733333333333333,0.018475208614068022,0.098,3.0,0.174,0.18333333333333335,0.029143323992525862,0.21600000000000003,0.19,0.18600000000000003,0.01058300524425837,0.19399999999999998
pyam-iamc,0.12300000000000001,0.12100000000000001,0.024062418831031936,0.14400000000000002,3.0,0.13,0.11699999999999999,0.022516660498395406,0.13,2.017,1.998,0.0373229152130429,2.022
pyamg,5.642,5.725999999999999,0.14635914730552313,5.895,3.0,5.856,5.911333333333334,0.13573994744854317,6.066,6.465,6.458333333333333,0.04338586559391514,6.497999999999999
pyarrow,0.107,0.09699999999999999,0.019078784028338912,0.109,3.0,0.282,0.26699999999999996,0.02685144316419509,0.28300000000000003,0.49700000000000005,0.48433333333333334,0.026388128644019754,0.502
pyarts,0.076,0.07166666666666667,0.007505553499465136,0.076,3.0,0.174,0.16933333333333334,0.01650252505931542,0.183,0.855,0.8813333333333334,0.05815783122962317,0.948
pyasn1,0.083,0.08533333333333333,0.01069267662156362,0.09699999999999999,3.0,0.102,0.106,0.0272213151776324,0.135,0.098,0.09500000000000001,0.014730919862656238,0.10800000000000001
pyasn1-modules,0.083,0.08433333333333333,0.0032145502536643296,0.08800000000000001,3.0,0.096,0.11533333333333333,0.03435597958628648,0.155,0.14,0.125,0.028618176042508374,0.14300000000000002
pyastronomy,0.08,0.07333333333333335,0.016072751268321594,0.085,3.0,5.624,5.696333333333334,0.1844622816006935,5.906000000000001,3.16,3.0996666666666663,0.11327106132341747,3.17
pyattck,0.109,0.10166666666666667,0.015373136743466928,0.11199999999999999,3.0,0.12300000000000001,0.12866666666666668,0.01342882471898913,0.14400000000000002,0.46399999999999997,0.46900000000000003,0.022912878474779217,0.494
pyaudio,0.17800000000000002,0.17766666666666667,0.04350095784386056,0.221,3.0,0.18100000000000002,0.18566666666666667,0.011718930554164616,0.19899999999999998,0.23199999999999998,0.2313333333333333,0.023007245235649856,0.254
pyautogui,0.068,0.06366666666666666,0.014011899704655802,0.075,3.0,0.177,0.18633333333333335,0.017039170558842753,0.20600000000000002,1.355,1.3483333333333334,0.04536885862938726,1.39
pybaseball,0.08800000000000001,0.09100000000000001,0.006082762530298222,0.098,3.0,0.128,0.11966666666666666,0.01709775813764288,0.131,1.3319999999999999,1.3636666666666668,0.06101092798288968,1.4340000000000002
pybids,0.11900000000000001,0.11766666666666666,0.010066445913694336,0.127,3.0,0.297,0.298,0.029512709126747416,0.32799999999999996,1.111,1.1433333333333333,0.06127261487266011,1.214
pybigwig,0.233,0.22266666666666668,0.0308274769213008,0.247,3.0,0.205,0.217,0.03364520768252145,0.255,0.21100000000000002,0.2086666666666667,0.014640127503998512,0.222
pybind11,0.098,0.09966666666666668,0.005686240703077328,0.106,3.0,0.1,0.09766666666666668,0.00680685928555405,0.10300000000000001,0.102,0.09499999999999999,0.015716233645501707,0.106
pybob,111.645,111.23333333333333,1.4723159760504296,112.456,3.0,110.90700000000001,110.93799999999999,1.170807840766368,112.124,7.707000000000001,7.813666666666667,0.19172202099219934,8.035
pybrake,0.469,0.47300000000000003,0.01442220510185594,0.489,3.0,0.424,0.40233333333333327,0.04282911782109614,0.43,0.48200000000000004,0.4753333333333334,0.014224392195567944,0.485
pybricks,0.096,0.09533333333333334,0.0030550504633038945,0.098,3.0,0.113,0.10733333333333334,0.014364307617610168,0.11800000000000001,0.1,0.10766666666666665,0.030237945256470933,0.141
pybtex,0.099,0.09999999999999999,0.0017320508075688687,0.102,3.0,0.145,0.14100000000000001,0.007810249675906646,0.146,0.107,0.12066666666666666,0.03458805188693537,0.16
pybtex-docutils,0.11,0.10166666666666667,0.018009256878986798,0.114,3.0,0.105,0.10499999999999998,0.010999999999999996,0.11599999999999999,0.19899999999999998,0.19133333333333336,0.016862186493255667,0.203
pybv,0.086,0.08700000000000001,0.005567764362830028,0.09300000000000001,3.0,0.09,0.09399999999999999,0.01442220510185596,0.11,0.337,0.341,0.011532562594670767,0.354
pycairo,0.373,0.38033333333333336,0.025794056162870817,0.409,3.0,0.382,0.38233333333333336,0.0015275252316519542,0.384,0.401,0.4043333333333334,0.007571877794400359,0.413
pycaret,7.492999999999999,7.620666666666666,0.36275933252410386,8.03,3.0,7.694,7.709666666666666,0.09348974988378846,7.81,7.541,7.639333333333333,0.35778252239780073,8.036
pycbc,0.6509999999999999,0.6573333333333333,0.06074811382531424,0.721,3.0,0.6809999999999999,0.6816666666666666,0.007023769168568528,0.6890000000000001,0.968,0.9743333333333334,0.05179124765183154,1.0290000000000001
pyccel,0.08800000000000001,0.09166666666666667,0.007234178138070239,0.1,3.0,0.138,0.134,0.007810249675906661,0.139,1.196,1.214,0.05524490926773258,1.276
pychemometrics,0.083,0.08733333333333333,0.014977761292440656,0.10400000000000001,3.0,0.092,0.09266666666666667,0.003055050463303896,0.096,0.11,0.10233333333333333,0.01415391583037477,0.111
pychord,0.079,0.08233333333333333,0.007571877794400366,0.091,3.0,0.087,0.08933333333333333,0.015631165450257806,0.106,0.11800000000000001,0.11266666666666668,0.011015141094572195,0.12
pycircstat,0.083,0.08333333333333333,0.002516611478423577,0.086,3.0,0.086,0.08966666666666667,0.015821925715074424,0.107,0.122,0.11566666666666665,0.019295940851208407,0.131
pycld2,0.45,0.447,0.015716233645501725,0.461,3.0,0.392,0.3953333333333333,0.04509249752822893,0.442,0.498,0.5023333333333333,0.026764404221527746,0.531
pyclustering,0.098,0.09633333333333333,0.005686240703077328,0.10099999999999999,3.0,0.348,0.35733333333333334,0.02064784088793146,0.381,0.998,1.0030000000000001,0.04073082370883259,1.046
pyco2sys,0.08800000000000001,0.09233333333333334,0.0140118997046558,0.10800000000000001,3.0,0.111,0.11033333333333334,0.02300724523564987,0.133,0.762,0.81,0.09732420048477153,0.922
pycobertura,0.095,0.09366666666666668,0.011060440015358046,0.10400000000000001,3.0,0.314,0.325,0.0386910842443062,0.368,0.479,0.47333333333333333,0.02010804150914087,0.49
pycocotools,5.937,5.789000000000001,0.2862935556382648,5.971,3.0,5.697,5.739999999999999,0.14245350118547473,5.899,6.452000000000001,6.5200000000000005,0.13098473193467994,6.671
pycodestyle,0.114,0.10833333333333334,0.018175074506954114,0.12300000000000001,3.0,0.113,0.11233333333333334,0.0030550504633038945,0.115,0.102,0.10233333333333333,0.0005773502691896344,0.10300000000000001
pycodestyle-magic,0.084,0.09066666666666667,0.01890326250501043,0.11199999999999999,3.0,0.098,0.10166666666666668,0.010016652800877813,0.113,0.102,0.10233333333333333,0.006506407098647708,0.109
pycodestyle_magic,0.08800000000000001,0.08333333333333333,0.02631222782915451,0.107,3.0,0.111,0.11133333333333334,0.011503622617824932,0.12300000000000001,0.09,0.08866666666666667,0.017039170558842746,0.105
pycollocation,0.091,0.09233333333333334,0.008082903768654755,0.10099999999999999,3.0,0.198,0.19699999999999998,0.02951270912674743,0.226,0.214,0.216,0.0360416425818802,0.253
pycompare,0.078,0.08333333333333333,0.012858201014657272,0.098,3.0,0.10300000000000001,0.09866666666666668,0.012096831541082705,0.10800000000000001,0.76,0.767,0.023302360395462053,0.7929999999999999
pycontractions,5.69,5.496666666666667,0.3870844007879074,5.749,3.0,5.666,5.611999999999999,0.2504056708623034,5.831,6.165,6.109333333333333,0.2560787639249555,6.332999999999999
pycosat,0.213,0.216,0.018681541692269422,0.23600000000000002,3.0,0.182,0.18633333333333332,0.028746014216467178,0.217,0.22,0.21699999999999997,0.008888194417315576,0.22399999999999998
pycountry,0.098,0.09633333333333333,0.006658328118479392,0.102,3.0,0.473,0.4613333333333333,0.03883726732577013,0.493,0.45799999999999996,0.44766666666666666,0.040501028793517524,0.48200000000000004
pycparser,0.10300000000000001,0.10400000000000002,0.004582575694955841,0.109,3.0,0.09699999999999999,0.10333333333333333,0.02413158373031769,0.13,0.113,0.11433333333333334,0.020033305601755626,0.135
pycrypto,0.43200000000000005,0.42700000000000005,0.019974984355438166,0.444,3.0,0.415,0.4223333333333334,0.012701705922171803,0.43700000000000006,0.38299999999999995,0.4066666666666667,0.05081666393353005,0.465
pycryptodome,0.09300000000000001,0.09466666666666668,0.004725815626252609,0.1,3.0,0.12,0.14533333333333331,0.04474743940532612,0.19699999999999998,0.161,0.14833333333333334,0.029143323992525845,0.16899999999999998
pycryptodomex,0.1,0.09866666666666668,0.026025628394590838,0.124,3.0,0.179,0.17,0.022869193252058537,0.187,0.12,0.12433333333333334,0.009291573243177574,0.135
pyct,0.083,0.08466666666666667,0.0028867513459481303,0.08800000000000001,3.0,0.115,0.11233333333333334,0.011239810200058238,0.122,0.11800000000000001,0.11499999999999999,0.019672315572906007,0.133
pycurl,1.054,1.0583333333333333,0.05462905209989766,1.115,3.0,1.117,1.0973333333333333,0.08228203530135428,1.168,0.9890000000000001,0.9900000000000002,0.01652271164185835,1.0070000000000001
pydantic,0.077,0.07633333333333332,0.0011547005383792516,0.077,3.0,0.168,0.16033333333333333,0.026350205565295562,0.182,0.18100000000000002,0.18600000000000003,0.022912878474779203,0.21100000000000002
pydap,0.079,0.07333333333333332,0.02695057204092954,0.09699999999999999,3.0,0.129,0.11833333333333333,0.020231987873991362,0.131,0.40299999999999997,0.403,0.044000000000000025,0.447
pydata-google-auth,0.11599999999999999,0.10999999999999999,0.017776388834631177,0.124,3.0,0.084,0.08866666666666667,0.025324559884296764,0.11599999999999999,0.213,0.2313333333333333,0.041645327869202005,0.27899999999999997
pydata-sphinx-theme,0.092,0.09366666666666668,0.00763762615825973,0.102,3.0,0.11900000000000001,0.11766666666666666,0.03401960219246153,0.151,0.531,0.5446666666666666,0.038370995990895655,0.588
pydataset,0.08900000000000001,0.08433333333333333,0.008082903768654767,0.08900000000000001,3.0,0.305,0.31466666666666665,0.01850225211517058,0.336,0.662,0.674,0.03459768778401237,0.713
pydeck,0.11,0.10266666666666667,0.012701705922171761,0.11,3.0,0.158,0.159,0.01552417469626001,0.175,1.099,1.1056666666666668,0.03251666239535249,1.141
pydgrid,0.084,0.08666666666666667,0.01517673658377629,0.10300000000000001,3.0,0.135,0.12366666666666669,0.03635014901390823,0.153,0.128,0.12633333333333333,0.018556220879622387,0.14400000000000002
pydicom,0.075,0.07866666666666666,0.007234178138070228,0.087,3.0,0.23800000000000002,0.24933333333333332,0.040216083018281765,0.294,0.268,0.26166666666666666,0.014571661996262947,0.272
pydispatcher,0.106,0.104,0.004358898943540664,0.107,3.0,0.2,0.19433333333333333,0.018175074506954124,0.209,0.187,0.19433333333333333,0.026764404221527763,0.22399999999999998
