,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
bitarray,1.6460000000000001,0.12955050495205842,1.8330000000000002,4.0,0.185,0.03350621832834416,0.22699999999999998,1.39825,0.06013526419664263,1.4480000000000002
bkcharts,4.06625,0.027072433704169424,4.0969999999999995,4.0,0.41275,0.041104541517128425,0.447,3.5847499999999997,0.07199247645877081,3.67
black,2.9185,0.05603867711976537,2.975,4.0,0.1845,0.019672315572905996,0.213,2.54725,0.05361824938084672,2.5789999999999997
black-nb,8.898,,8.898,1.0,0.787,,0.787,7.691,,7.691
bleach,1.4435,0.04224926034855522,1.492,4.0,0.12675,0.01472809107341025,0.139,1.2285,0.04707794954470014,1.285
blinker,1.66525,0.04231134599608014,1.7280000000000002,4.0,0.1745,0.02817209020762688,0.213,1.4657499999999999,0.06590080930206138,1.555
blis,3.4972499999999997,0.06446898479113833,3.583,4.0,0.34675,0.042999030996833706,0.391,3.0965,0.08520367754191538,3.185
blitzdb,1.7774999999999999,0.09233453669492622,1.876,4.0,0.22699999999999998,0.026870057685088804,0.265,1.5015,0.06483054835492306,1.5630000000000002
bmdcluster,3.3127500000000003,0.1728995373041812,3.529,4.0,0.3355,0.047169905660283035,0.402,2.75075,0.14110604759069217,2.909
bokeh,8.14325,0.13036455295311863,8.315,4.0,0.929,0.06821045863111223,1.0190000000000001,7.097,0.07246608402096369,7.183
bokeh-catplot,15.216,,15.216,1.0,1.4140000000000001,,1.4140000000000001,13.484000000000002,,13.484000000000002
bondgraphtools,15.096499999999999,0.09303225247192588,15.22,4.0,3.84525,0.18365252516641278,4.0169999999999995,15.404250000000001,0.0964170628052941,15.529000000000002
bookbook,7.402,,7.402,1.0,0.555,,0.555,6.322,,6.322
boost-histogram,3.65725,0.168161380822114,3.801,4.0,0.32075,0.03662763073600763,0.363,3.2242499999999996,0.16788165474524006,3.324
boto,1.55575,0.0751326604524734,1.633,4.0,0.15425,0.028135090782390106,0.18899999999999997,1.3582500000000002,0.07266532873386033,1.454
boto3,3.6502499999999998,0.10438510430133226,3.73,4.0,0.25425,0.008421203397773188,0.266,3.26425,0.09294218633107361,3.345
botocore,2.81,0.11187790964558937,2.909,4.0,0.27249999999999996,0.03581898937714463,0.324,2.4355,0.10807559083036901,2.537
bottle,0.97975,0.04410120935605584,1.044,4.0,0.11025000000000001,0.015713582235335987,0.133,0.83325,0.0418758084499074,0.889
bottleneck,6.68575,0.08103240092703626,6.7829999999999995,4.0,4.9765,0.23617578199298928,5.167000000000001,8.50875,0.22939830717189977,8.791
bqplot,17.46275,0.30554473213153743,17.709,4.0,1.36025,0.0528984876910484,1.405,15.238999999999999,0.23324093408604957,15.436
branca,1.185,0.03774475681027325,1.224,4.0,0.11449999999999999,0.014294521094927718,0.132,1.0015,0.02527844931952911,1.026
brian2,15.392000000000001,,15.392000000000001,1.0,4.3389999999999995,,4.3389999999999995,14.923,,14.923
brian2tools,19.484,,19.484,1.0,4.6419999999999995,,4.6419999999999995,18.96,,18.96
brotli,0.93625,0.05294257895745793,0.997,4.0,0.092,0.017378147196982767,0.102,0.806,0.039858081572833735,0.858
brotlipy,1.664,0.07044146506142539,1.7209999999999999,4.0,0.13025,0.02742717630380495,0.154,1.4555000000000002,0.056559702969517026,1.5190000000000001
bruges,6.96875,0.31848848749470826,7.275,4.0,0.7092499999999999,0.056523593893759716,0.7909999999999999,6.008749999999999,0.15146699310410774,6.212999999999999
bs4,1.77175,0.08507006915870391,1.893,4.0,0.1845,0.01926136028425822,0.205,1.5232499999999998,0.08028023833214919,1.629
bt,11.5045,0.34982805300128017,11.841,4.0,0.99725,0.08260094833999587,1.099,9.9985,0.13513573423290595,10.097999999999999
bz2file,1.5472499999999998,0.03830905027970989,1.6,4.0,0.16825,0.026911893281595767,0.20199999999999999,1.3552499999999998,0.072371149868807,1.4409999999999998
cachecontrol,1.9892500000000002,0.1164971387345343,2.108,4.0,0.1725,0.02327373340628158,0.196,1.6932500000000001,0.10028417954326925,1.7930000000000001
cached-property,0.8935,0.01936491673103707,0.9109999999999999,4.0,0.08275,0.020320351046836438,0.1,0.7835000000000001,0.012369316876852976,0.8
cachetools,0.9199999999999999,0.032893768406797044,0.965,4.0,0.0895,0.02372762103540934,0.12,0.79325,0.026399179280172113,0.8320000000000001
cairocffi,5.517,,5.517,1.0,0.573,,0.573,4.792,,4.792
cairosvg,6.896,0.07013320659050609,6.968999999999999,4.0,0.6315000000000001,0.04751490994063507,0.701,6.0127500000000005,0.127886342768361,6.141
calysto_bash,5.7535,0.4094146227644211,6.311,4.0,0.36124999999999996,0.038707234465923814,0.415,4.92475,0.3893185285427174,5.364
camelot-py,10.231000000000002,0.2101539118519255,10.444,4.0,0.73475,0.03662763073600759,0.7829999999999999,9.1925,0.2118277602204208,9.423
cameo,43.49100000000001,,43.49100000000001,1.0,3.568,,3.568,37.079,,37.079
carto2gpd,10.596250000000001,0.39066044505853664,11.157,4.0,0.84875,0.0886166839069633,0.956,9.28675,0.15944774483614757,9.524
cartoframes,12.9605,0.263305272766549,13.296,4.0,1.03325,0.07744836989892047,1.08,11.244250000000001,0.20089031003676314,11.419
cartopy,18.621,,18.621,1.0,6.564,,6.564,18.605999999999998,,18.605999999999998
casadi,2.5145,0.22805043301866376,2.838,4.0,0.30275,0.040102992407051154,0.35700000000000004,2.03525,0.030324632451743466,2.053
catalogue,1.06575,0.010499999999999995,1.081,4.0,0.10125,0.006800735254367727,0.10800000000000001,0.9099999999999999,0.010488088481701506,0.919
catboost,21.3895,0.7192391813576364,22.324,4.0,2.25325,0.1582811317455959,2.406,18.622249999999998,0.3696407039274759,18.892
category-encoders,14.14925,0.08290305583430997,14.24,4.0,1.06575,0.057325823151525755,1.149,12.891250000000001,0.08957817814624232,13.020999999999999
cchardet,0.971,,0.971,1.0,0.086,,0.086,0.825,,0.825
cclib,8.236749999999999,0.22564777124241006,8.539,4.0,0.821,0.06659829827655755,0.8909999999999999,7.290500000000001,0.20347071861408783,7.5760000000000005
cdlib,26.52,,26.52,1.0,2.209,,2.209,21.831,,21.831
cdsapi,2.718,,2.718,1.0,0.22899999999999998,,0.22899999999999998,2.359,,2.359
