library,user_time_constant_median,user_time_constant_average,user_time_constant_std,user_time_constant_max,user_time_full_median,user_time_full_average,user_time_full_std,user_time_full_max,user_time_solo_len,user_time_solo_median,user_time_solo_average,user_time_solo_std,user_time_solo_max
rosserial-client,0.675,0.6612857142857144,0.04125818822049869,0.705,0.6759999999999999,0.6672857142857144,0.032335296945774715,0.7,7.0,0.6629999999999999,0.649,0.04203966381089806,0.6940000000000001
rosserial-python,0.636,0.6512857142857144,0.03888750564433376,0.728,0.638,0.635,0.038965796967768175,0.682,7.0,0.62,0.62,0.043859624561396665,0.6970000000000001
rosservice,0.637,0.6158571428571429,0.057504865218601486,0.675,0.638,0.6318571428571429,0.0306236758703054,0.679,7.0,0.672,0.6577142857142857,0.057814975815712544,0.725
rostest,0.655,0.6641428571428573,0.04024685731593861,0.736,0.634,0.6308571428571428,0.0279071590064185,0.6659999999999999,7.0,0.622,0.6137142857142858,0.03619260645359436,0.653
rostopic,0.604,0.604,,0.604,0.6859999999999999,0.6859999999999999,,0.6859999999999999,1.0,0.675,0.675,,0.675
rosunit,0.701,0.701,,0.701,0.631,0.631,,0.631,1.0,0.677,0.677,,0.677
roswtf,0.705,0.705,,0.705,0.631,0.631,,0.631,1.0,0.615,0.615,,0.615
rouge-score,0.7665,0.7605,0.03200520790954705,0.7879999999999999,5.278,5.32175,0.12297797905858363,5.502000000000001,4.0,0.859,0.863,0.029086079144497946,0.9009999999999999
rows,0.743,0.7335714285714285,0.04246903633965628,0.7809999999999999,2.258,2.2895714285714286,0.08302179862914948,2.386,7.0,0.867,0.8715714285714284,0.04449291008260809,0.943
rpy2,0.8025,0.7995,0.03179622619116931,0.828,32.2215,32.29375,0.3178798253009028,32.735,4.0,9.663,9.705499999999999,0.17009311175549333,9.927
rq,0.7340000000000001,0.7301428571428572,0.028550706771336858,0.772,1.431,1.4309999999999998,0.05764546816532937,1.505,7.0,0.9309999999999999,0.9171428571428571,0.036617066018586546,0.953
rq-scheduler,0.705,0.705,,0.705,1.768,1.768,,1.768,1.0,0.905,0.905,,0.905
rqt-action,0.647,0.6501428571428571,0.04075712032446426,0.6940000000000001,0.664,0.6418571428571429,0.05034027072973345,0.6859999999999999,7.0,0.6409999999999999,0.6238571428571429,0.042823002274589766,0.6709999999999999
rqt-bag,0.6679999999999999,0.6697142857142857,0.03515543715991545,0.7340000000000001,0.667,0.66,0.04422668877499194,0.7,7.0,0.645,0.6362857142857142,0.046302319184947566,0.68
rqt-bag-plugins,0.711,0.711,,0.711,0.637,0.637,,0.637,1.0,0.718,0.718,,0.718
rqt-console,0.682,0.682,,0.682,0.703,0.703,,0.703,1.0,0.6629999999999999,0.6629999999999999,,0.6629999999999999
rqt-dep,0.669,0.6544285714285714,0.03261828292464796,0.695,0.6709999999999999,0.6575714285714286,0.037335671695476184,0.6940000000000001,7.0,0.669,0.6545714285714287,0.05801395562809907,0.727
rqt-graph,0.653,0.658,0.03988734135035832,0.735,0.669,0.6501428571428571,0.039855692071223546,0.6779999999999999,7.0,0.665,0.6450000000000001,0.044616887684672396,0.68
rqt-gui,0.68,0.6719999999999999,0.02798213715926648,0.7040000000000001,0.667,0.664142857142857,0.02843957671642675,0.705,7.0,0.679,0.6745714285714286,0.020606286604311998,0.7
rqt-gui-py,0.597,0.597,,0.597,0.711,0.711,,0.711,1.0,0.7090000000000001,0.7090000000000001,,0.7090000000000001
rqt-image-view,0.664,0.664,,0.664,0.713,0.713,,0.713,1.0,0.708,0.708,,0.708
rqt-launch,0.6609999999999999,0.6667142857142857,0.036021818784889664,0.7140000000000001,0.667,0.6462857142857145,0.05329075681489961,0.7070000000000001,7.0,0.6729999999999999,0.6537142857142857,0.04101103219750462,0.703
rqt-logger-level,0.667,0.6524285714285716,0.029540126059633652,0.6809999999999999,0.677,0.6634285714285715,0.029222463635915127,0.7,7.0,0.67,0.6684285714285715,0.025876998427542708,0.701
rqt-moveit,0.652,0.6452857142857142,0.03433518256693505,0.696,0.669,0.6539999999999999,0.03968206983848835,0.703,7.0,0.672,0.6651428571428571,0.034207350922613955,0.696
rqt-msg,0.611,0.6247142857142858,0.058775602324190844,0.716,0.642,0.6405714285714286,0.03977376498337038,0.701,7.0,0.6459999999999999,0.6187142857142857,0.04613644360558612,0.669
rqt-nav-view,0.6,0.6231428571428571,0.055574060410196725,0.6970000000000001,0.6829999999999999,0.682,0.03618471132029845,0.741,7.0,0.655,0.6532857142857144,0.029640705601780663,0.685
rqt-plot,0.652,0.6505714285714286,0.03806072841682156,0.693,0.674,0.6742857142857143,0.023956309438324608,0.705,7.0,0.635,0.616,0.06422616289332564,0.6859999999999999
rqt-pose-view,0.706,0.706,,0.706,0.655,0.655,,0.655,1.0,0.68,0.68,,0.68
rqt-publisher,0.649,0.6372857142857142,0.049775208975668055,0.691,0.594,0.6087142857142858,0.03270430290606154,0.6729999999999999,7.0,0.66,0.6388571428571428,0.03321861210942129,0.6779999999999999
rqt-py-common,0.674,0.674,,0.674,0.6759999999999999,0.6759999999999999,,0.6759999999999999,1.0,0.691,0.691,,0.691
rqt-py-console,0.628,0.6421428571428571,0.03310804822309612,0.6890000000000001,0.6409999999999999,0.6474285714285715,0.027330429578628673,0.688,7.0,0.635,0.6421428571428571,0.036943328542641145,0.691
rqt-reconfigure,0.6659999999999999,0.6719999999999999,0.02200000000000003,0.7090000000000001,0.68,0.6648571428571429,0.04610288700804098,0.7170000000000001,7.0,0.642,0.6481428571428571,0.03128060406188135,0.705
rqt-robot-dashboard,0.619,0.6272857142857143,0.0465285370703267,0.688,0.659,0.6394285714285715,0.038431138168838794,0.6759999999999999,7.0,0.633,0.6347142857142857,0.044835678819865006,0.6890000000000001
rqt-robot-monitor,0.625,0.625,,0.625,0.667,0.667,,0.667,1.0,0.713,0.713,,0.713
rqt-robot-steering,0.684,0.6747142857142857,0.032800987209301545,0.716,0.657,0.6548571428571428,0.02399603141791414,0.6779999999999999,7.0,0.652,0.641,0.03361547262794318,0.6779999999999999
rqt-runtime-monitor,0.669,0.669,,0.669,0.6629999999999999,0.6629999999999999,,0.6629999999999999,1.0,0.6920000000000001,0.6920000000000001,,0.6920000000000001
rqt-rviz,0.563,0.563,,0.563,0.608,0.608,,0.608,1.0,0.618,0.618,,0.618
rqt-service-caller,0.672,0.658142857142857,0.06261902951294329,0.711,0.633,0.6335714285714287,0.051048529664941174,0.711,7.0,0.672,0.6501428571428571,0.047220858990593605,0.696
rqt-shell,0.603,0.603,,0.603,0.6940000000000001,0.6940000000000001,,0.6940000000000001,1.0,0.68,0.68,,0.68
rqt-srv,0.638,0.6481428571428571,0.026226122927522588,0.7040000000000001,0.629,0.6258571428571429,0.03556416066505052,0.67,7.0,0.662,0.6428571428571429,0.04219173920500149,0.696
rqt-tf-tree,0.633,0.6275714285714286,0.05279475082132423,0.687,0.644,0.6461428571428571,0.02542589606043789,0.685,7.0,0.6509999999999999,0.6538571428571428,0.016587430697454525,0.6779999999999999
rqt-top,0.665,0.665,,0.665,0.6,0.6,,0.6,1.0,0.634,0.634,,0.634
rqt-topic,0.7170000000000001,0.7170000000000001,,0.7170000000000001,0.708,0.708,,0.708,1.0,0.7240000000000001,0.7240000000000001,,0.7240000000000001
rqt-web,0.634,0.6507142857142857,0.04335017987549875,0.7090000000000001,0.657,0.6572857142857143,0.03550452687434984,0.706,7.0,0.6679999999999999,0.6558571428571429,0.034459776413612905,0.687
rsa,0.6904999999999999,0.67875,0.035150865328371826,0.706,0.9630000000000001,0.97275,0.03456756668709362,1.02,4.0,0.7690000000000001,0.7805000000000001,0.06167387345275687,0.863
rstcheck,0.647,0.647,,0.647,1.848,1.848,,1.848,1.0,1.395,1.395,,1.395
rstl,0.6859999999999999,0.67025,0.037169656083065036,0.6940000000000001,2.7755,2.7517500000000004,0.11171503927403872,2.8480000000000003,4.0,0.7144999999999999,0.72075,0.02956771888394506,0.758
rstr,0.6519999999999999,0.6447499999999999,0.06391335280414151,0.7,0.7775000000000001,0.77525,0.018962682651284677,0.7959999999999999,4.0,0.7555000000000001,0.74975,0.02553918557824424,0.774
