library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
pyopenms,7.0,2.2969999999999997,2.312,0.05297798284822359,2.411,4.728,4.732857142857143,0.20925935150065875,4.976,0.7809999999999999,0.7828571428571429,0.03230804116330057,0.8270000000000001
pyopenssl,4.0,1.012,1.0045,0.029636688973860296,1.031,2.5065,2.49025,0.08057863654013188,2.565,0.8075,0.8057500000000001,0.0374466286867056,0.8490000000000001
pyoptimum,1.0,1.635,1.635,,1.635,2.365,2.365,,2.365,0.812,0.812,,0.812
pyorbital,7.0,1.7309999999999999,1.712,0.06255397669213365,1.815,7.454,7.420857142857143,0.1954877903872162,7.644,0.8190000000000001,0.8125714285714285,0.033370931176984746,0.8440000000000001
pyowm,7.0,1.189,1.1902857142857144,0.02959568823164552,1.236,2.069,2.0669999999999997,0.0854458893101359,2.171,0.8290000000000001,0.8150000000000001,0.03775800135953531,0.8690000000000001
pypairix,4.0,1.5405,1.5415,0.005446711546122785,1.548,1.536,1.5359999999999998,0.0460506967012083,1.581,1.4985,1.4975,0.054015429894305765,1.548
pypandoc,4.0,1.7269999999999999,1.7085,0.048699760437466794,1.742,1.8019999999999998,1.8072499999999998,0.06167319785233539,1.8869999999999998,0.7795000000000001,0.77275,0.031489416211377075,0.8
pyparallel,1.0,0.8740000000000001,0.8740000000000001,,0.8740000000000001,0.8640000000000001,0.8640000000000001,,0.8640000000000001,0.7709999999999999,0.7709999999999999,,0.7709999999999999
pyparsing,4.0,1.0114999999999998,1.0082499999999999,0.017036725037400856,1.023,1.0185,1.01725,0.031658332236553524,1.054,0.7865,0.7775000000000001,0.028850187752133147,0.8009999999999999
pypbl,4.0,0.8045,0.79725,0.018571932227602662,0.81,0.8005,0.802,0.007257180352359104,0.812,0.787,0.784,0.013241349377360767,0.795
pypdb,4.0,0.968,0.968,0.02055885859347905,0.993,1.8355,1.8355,0.08860586888011425,1.9180000000000001,0.818,0.8140000000000001,0.04121488404286331,0.856
pypdf,4.0,1.6215,1.60575,0.07262862153907826,1.666,1.576,1.5875000000000001,0.05511503122258641,1.663,0.7735000000000001,0.7737499999999999,0.01715371679840844,0.795
pypdf2,4.0,1.6124999999999998,1.63175,0.0599242577481496,1.716,1.6400000000000001,1.6337499999999998,0.035677957714346044,1.67,0.73,0.7355,0.03155418619877029,0.778
pyperclip,4.0,1.6320000000000001,1.64775,0.060246023381907376,1.732,1.6095000000000002,1.602,0.05962661598089677,1.655,0.7414999999999999,0.74125,0.0496076271017539,0.8
