,library,dependencies,size,size_full
20,apscheduler,"['tzlocal', 'setuptools', 'pytz', 'six']",3.4440000000000026,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 544K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/apscheduler 100K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tzlocal
"
21,pyecharts-extras,['pyecharts'],3.599999999999998,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyecharts 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/simplejson 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 136K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/prettytable 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe
"
22,uvloop,[],17.999999999999996,"18M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/uvloop 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
23,httptools,[],1.5,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/httptools
"
24,gmpy2,ERROR,0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
25,django-plotly-dash,"['plotly', 'dash-renderer', 'dash-html-components', 'Django', 'dash', 'dpd-components', 'dash-core-components', 'Flask']",188.79599999999996,"133M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/plotly 44M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/django 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/future 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 1.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/werkzeug 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/click 664K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/flask 664K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/dash 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sqlparse 152K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tenacity 144K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/asgiref 128K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/itsdangerous 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe
"
26,tomotopy,['numpy'],25.203999999999997,"25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 204K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tomotopy
"
27,iexfinance,"['requests', 'pandas']",79.36,"47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 688K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/iexfinance 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi
"
28,genderize,['requests'],3.904,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 32K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/genderize
"
29,pyhasse.lpom,"['setuptools', 'pyhasse.core']",0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
30,modelx,"['networkx', 'asttokens']",13.404,"12M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/networkx 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/modelx 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/asttokens
"
